CODE_OPERATION	CODE_STATION	LB_STATION	CODE_POINT	DATE	CODE_PRODUCTEUR	NOM_PRODUCTEUR	CODE_PRELEVEUR	NOM_PRELEVEUR	CODE_DETERMINATEUR	NOM_DETERMINATEUR	COORD_X_OP	COORD_Y_OP	UNITE_OBS	SUBSTRAT	CODE_SANDRE_TAXON	CODE_TAXON	NOM_LATIN_TAXON	RESULTAT
20190913174853-HB-328579	J710540T	ETANG DU BOULET à FEINS	101	27/06/2017	0	Interlocuteur inconnu	0	Interlocuteur inconnu	0	Interlocuteur inconnu					7076	ADMI	Achnanthidium minutissimum	258
20190913174853-HB-328579	J710540T	ETANG DU BOULET à FEINS	101	27/06/2017	0	Interlocuteur inconnu	0	Interlocuteur inconnu	0	Interlocuteur inconnu					9545	SSSP	Staurosirella	23
20190913174853-HB-328579	J710540T	ETANG DU BOULET à FEINS	101	27/06/2017	0	Interlocuteur inconnu	0	Interlocuteur inconnu	0	Interlocuteur inconnu					13128	ESUM	Encyonopsis subminuta	14
20190913174853-HB-328579	J710540T	ETANG DU BOULET à FEINS	101	27/06/2017	0	Interlocuteur inconnu	0	Interlocuteur inconnu	0	Interlocuteur inconnu					9445	SELS	Sellaphora	11
20190913174853-HB-328579	J710540T	ETANG DU BOULET à FEINS	101	27/06/2017	0	Interlocuteur inconnu	0	Interlocuteur inconnu	0	Interlocuteur inconnu					11431	CAEX	Cymbella excisa var. excisa	11
20190913174853-HB-328579	J710540T	ETANG DU BOULET à FEINS	101	27/06/2017	0	Interlocuteur inconnu	0	Interlocuteur inconnu	0	Interlocuteur inconnu					8989	NPAD	Nitzschia palea var. debilis	9
20190913174853-HB-328579	J710540T	ETANG DU BOULET à FEINS	101	27/06/2017	0	Interlocuteur inconnu	0	Interlocuteur inconnu	0	Interlocuteur inconnu					13938	GINN	Gomphonema innocens	8
20190913174853-HB-328579	J710540T	ETANG DU BOULET à FEINS	101	27/06/2017	0	Interlocuteur inconnu	0	Interlocuteur inconnu	0	Interlocuteur inconnu					27445	ADRU	Achnanthidium druartii	7
20190913174853-HB-328579	J710540T	ETANG DU BOULET à FEINS	101	27/06/2017	0	Interlocuteur inconnu	0	Interlocuteur inconnu	0	Interlocuteur inconnu					7074	ADCT	Achnanthidium catenatum	6
20190913174853-HB-328579	J710540T	ETANG DU BOULET à FEINS	101	27/06/2017	0	Interlocuteur inconnu	0	Interlocuteur inconnu	0	Interlocuteur inconnu					7948	NGRE	Navicula gregaria	4
20190913174853-HB-328579	J710540T	ETANG DU BOULET à FEINS	101	27/06/2017	0	Interlocuteur inconnu	0	Interlocuteur inconnu	0	Interlocuteur inconnu					7843	NCPR	Navicula capitatoradiata	4
20190913174853-HB-328579	J710540T	ETANG DU BOULET à FEINS	101	27/06/2017	0	Interlocuteur inconnu	0	Interlocuteur inconnu	0	Interlocuteur inconnu					13639	FPEM	Fragilaria perminuta	4
20190913174853-HB-328579	J710540T	ETANG DU BOULET à FEINS	101	27/06/2017	0	Interlocuteur inconnu	0	Interlocuteur inconnu	0	Interlocuteur inconnu					7426	ECAE	Encyonema caespitosum	3
20190913174853-HB-328579	J710540T	ETANG DU BOULET à FEINS	101	27/06/2017	0	Interlocuteur inconnu	0	Interlocuteur inconnu	0	Interlocuteur inconnu					7107	AINA	Amphora inariensis	3
20190913174853-HB-328579	J710540T	ETANG DU BOULET à FEINS	101	27/06/2017	0	Interlocuteur inconnu	0	Interlocuteur inconnu	0	Interlocuteur inconnu					11270	AUPU	Aulacoseira pusilla	3
20190913174853-HB-328579	J710540T	ETANG DU BOULET à FEINS	101	27/06/2017	0	Interlocuteur inconnu	0	Interlocuteur inconnu	0	Interlocuteur inconnu					6679	FGRA	Fragilaria gracilis	3
20190913174853-HB-328579	J710540T	ETANG DU BOULET à FEINS	101	27/06/2017	0	Interlocuteur inconnu	0	Interlocuteur inconnu	0	Interlocuteur inconnu					6690	FNAN	Fragilaria nanana	3
20190913174853-HB-328579	J710540T	ETANG DU BOULET à FEINS	101	27/06/2017	0	Interlocuteur inconnu	0	Interlocuteur inconnu	0	Interlocuteur inconnu					8944	NILA	Nitzschia lacuum	3
20190913174853-HB-328579	J710540T	ETANG DU BOULET à FEINS	101	27/06/2017	0	Interlocuteur inconnu	0	Interlocuteur inconnu	0	Interlocuteur inconnu					8656	DPST	Discostella pseudostelligera	2
20190913174853-HB-328579	J710540T	ETANG DU BOULET à FEINS	101	27/06/2017	0	Interlocuteur inconnu	0	Interlocuteur inconnu	0	Interlocuteur inconnu					9449	ECPM	Encyonopsis minuta	2
20190913174853-HB-328579	J710540T	ETANG DU BOULET à FEINS	101	27/06/2017	0	Interlocuteur inconnu	0	Interlocuteur inconnu	0	Interlocuteur inconnu					13298	ETAN	Eolimna tantula	2
20190913174853-HB-328579	J710540T	ETANG DU BOULET à FEINS	101	27/06/2017	0	Interlocuteur inconnu	0	Interlocuteur inconnu	0	Interlocuteur inconnu					10441	BNEG	Brachysira neglectissima	2
20190913174853-HB-328579	J710540T	ETANG DU BOULET à FEINS	101	27/06/2017	0	Interlocuteur inconnu	0	Interlocuteur inconnu	0	Interlocuteur inconnu					8891	NFON	Nitzschia fonticola	2
20190913174853-HB-328579	J710540T	ETANG DU BOULET à FEINS	101	27/06/2017	0	Interlocuteur inconnu	0	Interlocuteur inconnu	0	Interlocuteur inconnu					15974	NNOT	Navicula notha	2
20190913174853-HB-328579	J710540T	ETANG DU BOULET à FEINS	101	27/06/2017	0	Interlocuteur inconnu	0	Interlocuteur inconnu	0	Interlocuteur inconnu							VUCO	2
20190913174853-HB-328579	J710540T	ETANG DU BOULET à FEINS	101	27/06/2017	0	Interlocuteur inconnu	0	Interlocuteur inconnu	0	Interlocuteur inconnu					9071	NIVA	Nitzschia valdestriata	2
20190913174853-HB-328579	J710540T	ETANG DU BOULET à FEINS	101	27/06/2017	0	Interlocuteur inconnu	0	Interlocuteur inconnu	0	Interlocuteur inconnu					7435	ENMI	Encyonema minutum	1
20190913174853-HB-328579	J710540T	ETANG DU BOULET à FEINS	101	27/06/2017	0	Interlocuteur inconnu	0	Interlocuteur inconnu	0	Interlocuteur inconnu					14317	HCOS	Hippodonta costulata	1
20190913174853-HB-328579	J710540T	ETANG DU BOULET à FEINS	101	27/06/2017	0	Interlocuteur inconnu	0	Interlocuteur inconnu	0	Interlocuteur inconnu					8393	PLFR	Planothidium frequentissimum	1
20190913174853-HB-328579	J710540T	ETANG DU BOULET à FEINS	101	27/06/2017	0	Interlocuteur inconnu	0	Interlocuteur inconnu	0	Interlocuteur inconnu					8657	DSTE	Discostella stelligera	1
20190913174853-HB-328579	J710540T	ETANG DU BOULET à FEINS	101	27/06/2017	0	Interlocuteur inconnu	0	Interlocuteur inconnu	0	Interlocuteur inconnu					12017	CMLF	Craticula molestiformis	1
20190913174853-HB-328579	J710540T	ETANG DU BOULET à FEINS	101	27/06/2017	0	Interlocuteur inconnu	0	Interlocuteur inconnu	0	Interlocuteur inconnu					7218	CDIS	Cocconeis disculus	1
20190913174853-HB-328579	J710540T	ETANG DU BOULET à FEINS	101	27/06/2017	0	Interlocuteur inconnu	0	Interlocuteur inconnu	0	Interlocuteur inconnu					7881	NCTE	Navicula cryptotenella	1
20190913174853-HB-328579	J710540T	ETANG DU BOULET à FEINS	101	27/06/2017	0	Interlocuteur inconnu	0	Interlocuteur inconnu	0	Interlocuteur inconnu					7076	ADMI	Achnanthidium minutissimum	263
20190913174853-HB-328579	J710540T	ETANG DU BOULET à FEINS	101	27/06/2017	0	Interlocuteur inconnu	0	Interlocuteur inconnu	0	Interlocuteur inconnu					9449	ECPM	Encyonopsis minuta	49
20190913174853-HB-328579	J710540T	ETANG DU BOULET à FEINS	101	27/06/2017	0	Interlocuteur inconnu	0	Interlocuteur inconnu	0	Interlocuteur inconnu					7074	ADCT	Achnanthidium catenatum	13
20190913174853-HB-328579	J710540T	ETANG DU BOULET à FEINS	101	27/06/2017	0	Interlocuteur inconnu	0	Interlocuteur inconnu	0	Interlocuteur inconnu					20681	ACAF	Achnanthidium affine	8
20190913174853-HB-328579	J710540T	ETANG DU BOULET à FEINS	101	27/06/2017	0	Interlocuteur inconnu	0	Interlocuteur inconnu	0	Interlocuteur inconnu					16951	PDAU	Planothidium daui	8
20190913174853-HB-328579	J710540T	ETANG DU BOULET à FEINS	101	27/06/2017	0	Interlocuteur inconnu	0	Interlocuteur inconnu	0	Interlocuteur inconnu					9419	EOMI	Eolimna minima	7
20190913174853-HB-328579	J710540T	ETANG DU BOULET à FEINS	101	27/06/2017	0	Interlocuteur inconnu	0	Interlocuteur inconnu	0	Interlocuteur inconnu					35851	ADCV	Achnanthidium caravelense	6
20190913174853-HB-328579	J710540T	ETANG DU BOULET à FEINS	101	27/06/2017	0	Interlocuteur inconnu	0	Interlocuteur inconnu	0	Interlocuteur inconnu					8989	NPAD	Nitzschia palea var. debilis	5
20190913174853-HB-328579	J710540T	ETANG DU BOULET à FEINS	101	27/06/2017	0	Interlocuteur inconnu	0	Interlocuteur inconnu	0	Interlocuteur inconnu					32463	KCLE	Karayevia clevei	4
20190913174853-HB-328579	J710540T	ETANG DU BOULET à FEINS	101	27/06/2017	0	Interlocuteur inconnu	0	Interlocuteur inconnu	0	Interlocuteur inconnu							VUCO	8
20190913174853-HB-328579	J710540T	ETANG DU BOULET à FEINS	101	27/06/2017	0	Interlocuteur inconnu	0	Interlocuteur inconnu	0	Interlocuteur inconnu					12158	EULA	Eucocconeis laevis	4
20190913174853-HB-328579	J710540T	ETANG DU BOULET à FEINS	101	27/06/2017	0	Interlocuteur inconnu	0	Interlocuteur inconnu	0	Interlocuteur inconnu					7107	AINA	Amphora inariensis	4
20190913174853-HB-328579	J710540T	ETANG DU BOULET à FEINS	101	27/06/2017	0	Interlocuteur inconnu	0	Interlocuteur inconnu	0	Interlocuteur inconnu					13106	ENVE	Encyonema ventricosum	3
20190913174853-HB-328579	J710540T	ETANG DU BOULET à FEINS	101	27/06/2017	0	Interlocuteur inconnu	0	Interlocuteur inconnu	0	Interlocuteur inconnu					6679	FGRA	Fragilaria gracilis	3
20190913174853-HB-328579	J710540T	ETANG DU BOULET à FEINS	101	27/06/2017	0	Interlocuteur inconnu	0	Interlocuteur inconnu	0	Interlocuteur inconnu					7948	NGRE	Navicula gregaria	2
20190913174853-HB-328579	J710540T	ETANG DU BOULET à FEINS	101	27/06/2017	0	Interlocuteur inconnu	0	Interlocuteur inconnu	0	Interlocuteur inconnu					12017	CMLF	Craticula molestiformis	2
20190913174853-HB-328579	J710540T	ETANG DU BOULET à FEINS	101	27/06/2017	0	Interlocuteur inconnu	0	Interlocuteur inconnu	0	Interlocuteur inconnu					8891	NFON	Nitzschia fonticola	2
20190913174853-HB-328579	J710540T	ETANG DU BOULET à FEINS	101	27/06/2017	0	Interlocuteur inconnu	0	Interlocuteur inconnu	0	Interlocuteur inconnu					8419	RSIN	Reimeria sinuata	2
20190913174853-HB-328579	J710540T	ETANG DU BOULET à FEINS	101	27/06/2017	0	Interlocuteur inconnu	0	Interlocuteur inconnu	0	Interlocuteur inconnu					8599	CDUB	Cyclostephanos dubius	1
20190913174853-HB-328579	J710540T	ETANG DU BOULET à FEINS	101	27/06/2017	0	Interlocuteur inconnu	0	Interlocuteur inconnu	0	Interlocuteur inconnu					10095	PMMS	Psammothidium	1
20190913174853-HB-328579	J710540T	ETANG DU BOULET à FEINS	101	27/06/2017	0	Interlocuteur inconnu	0	Interlocuteur inconnu	0	Interlocuteur inconnu					9071	NIVA	Nitzschia valdestriata	1
20190913174853-HB-328579	J710540T	ETANG DU BOULET à FEINS	101	27/06/2017	0	Interlocuteur inconnu	0	Interlocuteur inconnu	0	Interlocuteur inconnu					8833	NIAR	Nitzschia archibaldii	1
20190913174853-HB-328579	J710540T	ETANG DU BOULET à FEINS	101	27/06/2017	0	Interlocuteur inconnu	0	Interlocuteur inconnu	0	Interlocuteur inconnu					8393	PLFR	Planothidium frequentissimum	1
20190913174853-HB-328579	J710540T	ETANG DU BOULET à FEINS	101	27/06/2017	0	Interlocuteur inconnu	0	Interlocuteur inconnu	0	Interlocuteur inconnu					7874	NCRY	Navicula cryptocephala	1
20190913174853-HB-328579	J710540T	ETANG DU BOULET à FEINS	101	27/06/2017	0	Interlocuteur inconnu	0	Interlocuteur inconnu	0	Interlocuteur inconnu					6752	PPRS	Pseudostaurosira parasitica	1
20190913174853-HB-328579	J710540T	ETANG DU BOULET à FEINS	101	27/06/2017	0	Interlocuteur inconnu	0	Interlocuteur inconnu	0	Interlocuteur inconnu					7076	ADMI	Achnanthidium minutissimum	200
20190913174853-HB-328579	J710540T	ETANG DU BOULET à FEINS	101	27/06/2017	0	Interlocuteur inconnu	0	Interlocuteur inconnu	0	Interlocuteur inconnu					13128	ESUM	Encyonopsis subminuta	41
20190913174853-HB-328579	J710540T	ETANG DU BOULET à FEINS	101	27/06/2017	0	Interlocuteur inconnu	0	Interlocuteur inconnu	0	Interlocuteur inconnu					7684	GLAT	Gomphonema lateripunctatum	22
20190913174853-HB-328579	J710540T	ETANG DU BOULET à FEINS	101	27/06/2017	0	Interlocuteur inconnu	0	Interlocuteur inconnu	0	Interlocuteur inconnu					7074	ADCT	Achnanthidium catenatum	21
20190913174853-HB-328579	J710540T	ETANG DU BOULET à FEINS	101	27/06/2017	0	Interlocuteur inconnu	0	Interlocuteur inconnu	0	Interlocuteur inconnu					10441	BNEG	Brachysira neglectissima	16
20190913174853-HB-328579	J710540T	ETANG DU BOULET à FEINS	101	27/06/2017	0	Interlocuteur inconnu	0	Interlocuteur inconnu	0	Interlocuteur inconnu					9445	SELS	Sellaphora	12
